method,recall@1,recall@3,recall@5,recall@10,coverage@1,coverage@3,coverage@5,coverage@10,ndcg@1,ndcg@3,ndcg@5,ndcg@10,mrr@1,mrr@3,mrr@5,mrr@10,mrr,vector_weight,bm25_weight
hybrid,0.8378378378378378,0.918918918918919,0.954954954954955,0.9819819819819819,0.7456362612612613,0.8598490317240317,0.9006986038236038,0.9310931810931812,0.8378378378378378,0.8624304847860934,0.8788138789801442,0.8873533165409788,0.8378378378378378,0.8723723723723723,0.8804804804804804,0.8843951093951095,0.8843951093951095,0.0,1.0
hybrid,0.8468468468468469,0.918918918918919,0.954954954954955,0.9819819819819819,0.7546452702702703,0.8643535362285363,0.9006986038236038,0.9310931810931812,0.8468468468468469,0.867337818923389,0.881737029588307,0.8902764671491418,0.8468468468468469,0.8753753753753755,0.8839339339339338,0.8878485628485628,0.8878485628485628,0.1,0.9
hybrid,0.8468468468468469,0.9279279279279279,0.954954954954955,0.9819819819819819,0.7546452702702703,0.8733625452375453,0.9014493545743545,0.92998492998493,0.8468468468468469,0.8737451068911662,0.8854463762897684,0.892654186935288,0.8468468468468469,0.8798798798798799,0.8861861861861862,0.8901008151008151,0.8901008151008151,0.2,0.8
hybrid,0.8648648648648649,0.9369369369369369,0.963963963963964,0.9819819819819819,0.7681587837837838,0.8831223049973049,0.9111018642268641,0.9306418368918369,0.8648648648648649,0.8857271248638765,0.8968422747996446,0.9007899852115683,0.8648648648648649,0.8918918918918919,0.8981981981981982,0.9006006006006007,0.9006006006006007,0.3,0.7
hybrid,0.8648648648648649,0.9369369369369369,0.954954954954955,0.9819819819819819,0.7681587837837838,0.8871441840191839,0.9014493545743545,0.9306418368918369,0.8648648648648649,0.8899355214232131,0.8941126635225259,0.9023224480681269,0.8648648648648649,0.8918918918918919,0.8963963963963963,0.9000858000858001,0.9000858000858001,0.4,0.6
hybrid,0.8648648648648649,0.9459459459459459,0.963963963963964,0.9819819819819819,0.7514772671022671,0.8959029427779428,0.9037016068266068,0.9297503203753203,0.8648648648648649,0.8966635627726637,0.899161521577664,0.9017869109491302,0.8648648648648649,0.9039039039039038,0.907957957957958,0.9105855855855857,0.9105855855855857,0.5,0.5
hybrid,0.8738738738738738,0.8828828828828829,0.972972972972973,0.9819819819819819,0.7522280178530178,0.8313383782133782,0.9073206104456105,0.9297503203753203,0.8738738738738738,0.8563216634667655,0.8842273204164157,0.8883888651636698,0.8738738738738738,0.8768768768768769,0.898048048048048,0.8990490490490491,0.8997997997997998,0.6,0.4
hybrid,0.8738738738738738,0.8828828828828829,0.9279279279279279,0.963963963963964,0.7522280178530178,0.8242062460812462,0.8709765741015741,0.9106304106304106,0.8738738738738738,0.8560448952327363,0.8682456389106457,0.8770259822555354,0.8738738738738738,0.8768768768768769,0.8867867867867868,0.8922029172029171,0.8944415194415194,0.7,0.3
hybrid,0.8648648648648649,0.8828828828828829,0.918918918918919,0.954954954954955,0.7432190088440088,0.8197017415767416,0.8547103078353079,0.890769925144925,0.8648648648648649,0.849234777632168,0.8594948841613758,0.8639022482167568,0.8648648648648649,0.8723723723723723,0.8809309309309309,0.8853353353353354,0.8875298375298375,0.8,0.2
hybrid,0.8648648648648649,0.8828828828828829,0.9099099099099099,0.9459459459459459,0.7432190088440088,0.8197017415767416,0.8411967943217944,0.8828196671946672,0.8648648648648649,0.8480552303026954,0.852298451508996,0.8593711356804228,0.8648648648648649,0.8708708708708709,0.8771771771771771,0.881867581867582,0.8843825968825968,0.9,0.1
hybrid,0.8648648648648649,0.8828828828828829,0.918918918918919,0.954954954954955,0.7432190088440088,0.8197017415767416,0.8457012988262989,0.8828196671946672,0.8648648648648649,0.8480552303026954,0.854435367840251,0.8593409076117315,0.8648648648648649,0.8708708708708709,0.8789789789789789,0.8831331331331331,0.8836336336336336,1.0,0.0
